EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
647062,INDIAN WELLS VLY (ZONE), ,06/20/2016,1200,Excessive Heat, , ,0,0,0,0,CA,PST-8, ,108010,Z,98,HNX,0,0,Mesonet, , , , , , , , ,06/22/2016,1900, , , , ,"APRS 1 mile south of Ridgecrest reported a high temperature of 113 degrees on 6/20.","Strong high pressure over the four corners region retrograded westward over southern and central California bringing a period of high temperatures over the 110 degree mark to locations in the Kern County Desert.",1
647063,INDIAN WELLS VLY (ZONE), ,06/20/2016,1200,Excessive Heat, , ,0,0,0,0,CA,PST-8, ,108010,Z,98,HNX,0,0,Mesonet, , , , , , , , ,06/22/2016,1900, , , , ,"Inyokern AWOS (KIYK) reported a high temperature of 112 degrees on 6/20.","Strong high pressure over the four corners region retrograded westward over southern and central California bringing a period of high temperatures over the 110 degree mark to locations in the Kern County Desert.",2
647064,INDIAN WELLS VLY (ZONE), ,06/20/2016,1200,Excessive Heat, , ,0,0,0,0,CA,PST-8, ,108010,Z,98,HNX,0,0,ASOS, , , , , , , , ,06/22/2016,1900, , , , ,"China Lake ASOS (KNID) reported a high temperature of 112 degrees on 6/20.","Strong high pressure over the four corners region retrograded westward over southern and central California bringing a period of high temperatures over the 110 degree mark to locations in the Kern County Desert.",3
647065,INDIAN WELLS VLY (ZONE), ,06/20/2016,1200,Excessive Heat, , ,0,0,0,0,CA,PST-8, ,108010,Z,98,HNX,0,0,Mesonet, , , , , , , , ,06/22/2016,1900, , , , ,"APRS 7 miles south/southwest of Ridgecrest reported a high temperature of 110 degrees on 6/20.","Strong high pressure over the four corners region retrograded westward over southern and central California bringing a period of high temperatures over the 110 degree mark to locations in the Kern County Desert.",4
647066,INDIAN WELLS VLY (ZONE), ,06/20/2016,1200,Excessive Heat, , ,0,0,0,0,CA,PST-8, ,108010,Z,98,HNX,0,0,Mesonet, , , , , , , , ,06/22/2016,1900, , , , ,"APRS 1 mile south of Ridgecrest reported a high temperature of 112 degrees on 6/21.","Strong high pressure over the four corners region retrograded westward over southern and central California bringing a period of high temperatures over the 110 degree mark to locations in the Kern County Desert.",5
647067,INDIAN WELLS VLY (ZONE), ,06/20/2016,1200,Excessive Heat, , ,0,0,0,0,CA,PST-8, ,108010,Z,98,HNX,0,0,Mesonet, , , , , , , , ,06/22/2016,1900, , , , ,"APRS 7 miles south/southwest of Ridgecrest reported a high temperature of 112 degrees on 6/21.","Strong high pressure over the four corners region retrograded westward over southern and central California bringing a period of high temperatures over the 110 degree mark to locations in the Kern County Desert.",6
647068,INDIAN WELLS VLY (ZONE), ,06/20/2016,1200,Excessive Heat, , ,0,0,0,0,CA,PST-8, ,108010,Z,98,HNX,0,0,AWOS, , , , , , , , ,06/22/2016,1900, , , , ,"Inyokern AWOS (KIYK) reported a high temperature of 111 degrees on 6/21.","Strong high pressure over the four corners region retrograded westward over southern and central California bringing a period of high temperatures over the 110 degree mark to locations in the Kern County Desert.",7
647069,INDIAN WELLS VLY (ZONE), ,06/20/2016,1200,Excessive Heat, , ,0,0,0,0,CA,PST-8, ,108010,Z,98,HNX,0,0,ASOS, , , , , , , , ,06/22/2016,1900, , , , ,"China Lake ASOS (KNID) reported a high temperature of 112 degrees on 6/21.","Strong high pressure over the four corners region retrograded westward over southern and central California bringing a period of high temperatures over the 110 degree mark to locations in the Kern County Desert.",8
647070,SE KERN CTY DESERT (ZONE), ,06/20/2016,1200,Excessive Heat, , ,0,0,0,0,CA,PST-8, ,108010,Z,99,HNX,0,0,ASOS, , , , , , , , ,06/22/2016,1900, , , , ,"North Edwards ASOS (K9L2) reported a high temperature of 110 degrees on 6/21.","Strong high pressure over the four corners region retrograded westward over southern and central California bringing a period of high temperatures over the 110 degree mark to locations in the Kern County Desert.",9
647071,SE KERN CTY DESERT (ZONE), ,06/20/2016,1200,Excessive Heat, , ,0,0,0,0,CA,PST-8, ,108010,Z,99,HNX,0,0,ASOS, , , , , , , , ,06/22/2016,1900, , , , ,"Edwards ASOS (K9L2) reported a high temperature of 110 degrees on 6/20.","Strong high pressure over the four corners region retrograded westward over southern and central California bringing a period of high temperatures over the 110 degree mark to locations in the Kern County Desert.",10
647072,SE KERN CTY DESERT (ZONE), ,06/20/2016,1200,Excessive Heat, , ,0,0,0,0,CA,PST-8, ,108010,Z,99,HNX,0,0,ASOS, , , , , , , , ,06/22/2016,1900, , , , ,"North Edwards ASOS (K9L2) reported a high temperature of 113 degrees on 6/20.","Strong high pressure over the four corners region retrograded westward over southern and central California bringing a period of high temperatures over the 110 degree mark to locations in the Kern County Desert.",11
647073,SE KERN CTY DESERT (ZONE), ,06/20/2016,1200,Excessive Heat, , ,0,0,0,0,CA,PST-8, ,108010,Z,99,HNX,0,0,Mesonet, , , , , , , , ,06/22/2016,1900, , , , ,"Boron APRS reported a high temperature of 113 degrees on 6/20.","Strong high pressure over the four corners region retrograded westward over southern and central California bringing a period of high temperatures over the 110 degree mark to locations in the Kern County Desert.",12
647074,SE KERN CTY DESERT (ZONE), ,06/20/2016,1200,Excessive Heat, , ,0,0,0,0,CA,PST-8, ,108010,Z,99,HNX,0,0,Mesonet, , , , , , , , ,06/22/2016,1900, , , , ,"Rosamond APRS reported a high temperature of 110 degrees on 6/20.","Strong high pressure over the four corners region retrograded westward over southern and central California bringing a period of high temperatures over the 110 degree mark to locations in the Kern County Desert.",13
649295,INDIAN WELLS VLY (ZONE), ,07/29/2016,1000,Excessive Heat, , ,0,0,0,0,CA,PST-8, ,108172,Z,98,HNX,0,0,Mesonet, , , , , , , , ,07/29/2016,1900, , , , ,"Ridgecrest APRS (C9067) reported a high temperature of 115 degrees on 7/29.","Strong high pressure over the southwestern continental United States brought triple digit heat to the central California region including the San Joaquin Valley and Kern County desert areas. Excessive heat was observed in parts of the Kern County desert.",14
649294,SE KERN CTY DESERT (ZONE), ,07/29/2016,1000,Excessive Heat, , ,0,0,0,0,CA,PST-8, ,108172,Z,99,HNX,0,0,Mesonet, , , , , , , , ,07/29/2016,1900, , , , ,"California City APRS (C9012) reported a high temperature of 111 degrees on 7/29.","Strong high pressure over the southwestern continental United States brought triple digit heat to the central California region including the San Joaquin Valley and Kern County desert areas. Excessive heat was observed in parts of the Kern County desert.",15
649293,SE KERN CTY DESERT (ZONE), ,07/29/2016,1000,Excessive Heat, , ,0,0,0,0,CA,PST-8, ,108172,Z,99,HNX,0,0,Mesonet, , , , , , , , ,07/29/2016,1900, , , , ,"Red Rock Canyon APRS (D9138) reported a high temperature of 110 degrees on 7/29.","Strong high pressure over the southwestern continental United States brought triple digit heat to the central California region including the San Joaquin Valley and Kern County desert areas. Excessive heat was observed in parts of the Kern County desert.",16
649292,SE KERN CTY DESERT (ZONE), ,07/29/2016,1000,Excessive Heat, , ,0,0,0,0,CA,PST-8, ,108172,Z,99,HNX,0,0,ASOS, , , , , , , , ,07/29/2016,1900, , , , ,"Mojave ASOS (KMHV) reported a high temperature of 108 degrees on 7/29.","Strong high pressure over the southwestern continental United States brought triple digit heat to the central California region including the San Joaquin Valley and Kern County desert areas. Excessive heat was observed in parts of the Kern County desert.",17
649296,INDIAN WELLS VLY (ZONE), ,07/29/2016,1000,Excessive Heat, , ,0,0,0,0,CA,PST-8, ,108172,Z,98,HNX,0,0,RAWS, , , , , , , , ,07/29/2016,1900, , , , ,"Indian Wells Canyon RAWS (IWLC1) reported a high temperature of 106 degrees on 7/29.","Strong high pressure over the southwestern continental United States brought triple digit heat to the central California region including the San Joaquin Valley and Kern County desert areas. Excessive heat was observed in parts of the Kern County desert.",18
